element,image
6_52_17,11_47_16
6_52_18_0,11_47_17
6_52_19_0,11_47_18
6_52_22_0,11_47_21_1 + 11_47_21_0
6_52_23,11_47_22
6_52_24,11_47_23
6_52_25,11_47_24
6_53_5,11_48_4
6_53_6,11_48_5
6_53_7_0,11_48_6
6_53_8_0,11_48_7_2 + 11_48_7_1
6_53_8_1,11_48_7_0 + 11_48_7_2 + 11_48_7_1
6_53_8_3,11_48_7_1
6_53_9_0,11_48_8_1
6_53_10_0,11_48_9_0
6_53_10_2,11_48_9_1 + 11_48_9_0
6_53_11_0,11_48_10
6_53_13_0,11_48_12
6_53_16_1,11_48_15
6_53_17_0,11_48_16_1
6_53_17_1,11_48_16_0
6_53_18_0,11_48_17_1
6_53_18_1,11_48_17_0 + 11_48_17_1
6_53_19,11_48_18
6_53_23,11_48_22
6_54_6_0,11_49_5_0
6_54_6_1,11_49_5_1
6_54_7_0,11_49_6_2
6_54_7_1,11_49_6_1 + 11_49_6_2
6_54_7_2,11_49_6_0 + 11_49_6_2
6_54_8,11_49_7
6_54_9_0,11_49_8
6_54_10_0,11_49_9
6_54_12_0,11_49_11
6_54_13_1,11_49_12
6_54_14,11_49_13
6_54_15_0,11_49_14_0
6_54_15_2,11_49_14_1
6_54_16_0,11_49_15_1
6_54_16_1,11_49_15_0 + 11_49_15_1
6_54_17_0,11_49_16
6_54_18,11_49_17
6_54_21,11_49_20
6_54_22_0,11_49_21
6_54_23_0,11_49_22
6_54_24,11_49_23
6_54_25,11_49_24
6_55_5,11_50_4
6_55_6_0,11_50_5
6_55_7_0,11_50_6_0
6_55_7_1,11_50_6_1
6_55_8_0,11_50_7_0
6_55_8_1,11_50_7_1
6_55_11_1,11_50_10
6_55_12_1,11_50_11_0
6_55_12_2,11_50_11_1
6_55_13,11_50_12
6_55_14_0,11_50_13_0
6_55_14_1,11_50_13_1
6_55_17_0,11_50_16
6_55_18_0,11_50_17
6_55_19_0,11_50_18
6_55_20_0,11_50_19_0
6_55_20_1,11_50_19_1
6_55_21_0,11_50_20_1
6_55_21_1,11_50_20_0
6_55_22_0,11_50_21_1
6_55_22_1,11_50_21_0 + 11_50_21_1
6_55_23,11_50_22
6_56_7_0,11_51_6_2
6_56_7_1,11_51_6_1
6_56_7_2,11_51_6_0 + 11_51_6_1 + 11_51_6_2
6_56_8_0,11_51_7_1
6_56_8_2,11_51_7_0
6_56_9_0,11_51_8_0
6_56_9_1,11_51_8_1
6_56_10_2,11_51_9
6_56_11_0,11_51_10
6_56_13_0,11_51_12_0
6_56_13_1,11_51_12_1
6_56_16_0,11_51_15
6_56_17_0,11_51_16_1
6_56_17_1,11_51_16_0
6_56_18_0,11_51_17_1
6_56_18_1,11_51_17_0 + 11_51_17_1
6_56_19,11_51_18
6_56_21_0,11_51_20
6_56_22,11_51_21
6_57_6_2,11_52_5
6_57_7_1,11_52_6_0
6_57_7_2,11_52_6_1
6_57_7_3,11_52_6_2
6_57_8_0,11_52_7_1
6_57_8_1,11_52_7_0 + 11_52_7_1
6_57_9_0,11_52_8_0
6_57_9_1,11_52_8_1
6_57_9_3,11_52_8_2
6_57_10_0,11_52_9_2
6_57_10_1,11_52_9_0
6_57_10_2,11_52_9_1
6_57_11_0,11_52_10_1
6_57_12_1,11_52_11
6_57_13_1,11_52_12
6_57_14,11_52_13
6_57_15_0,11_52_14
6_57_16_1,11_52_15
6_57_17,11_52_16
6_57_18_0,11_52_17
6_57_21,11_52_20
6_57_22_0,11_52_21
6_58_6,11_53_5_1
6_58_7_0,11_53_6_1
6_58_7_1,11_53_6_0
6_58_8_0,11_53_7_0
6_58_8_1,11_53_7_1
6_58_8_3,11_53_7_2
6_58_9_0,11_53_8_1
6_58_9_1,11_53_8_0
6_58_9_2,11_53_8_2
6_58_10_0,11_53_9_1
6_58_11_0,11_53_10
6_58_12_0,11_53_11
6_58_14_0,11_53_13
6_58_15_1,11_53_14
6_58_16,11_53_15
6_58_17_0,11_53_16_1 + 11_53_16_0
6_58_17_1,11_53_16_0
6_58_18_1,11_53_17
6_58_19_0,11_53_18
6_58_20,11_53_19
6_58_21_0,11_53_20
6_59_7_1,11_54_6_0
6_59_8_1,11_54_7_0
6_59_8_2,11_54_7_1
6_59_11_0,11_54_10
6_59_13_0,11_54_12
6_59_14_1,11_54_13
6_59_15,11_54_14
6_59_16_0,11_54_15_1 + 11_54_15_0
6_59_16_1,11_54_15_0
6_59_17_1,11_54_16_1
6_59_17_2,11_54_16_0
6_59_18_0,11_54_17_1
6_59_18_1,11_54_17_0 + 11_54_17_1
6_59_19,11_54_18
6_59_20_0,11_54_19
6_60_6,11_55_5_1
6_60_7_1,11_55_6_0
6_60_7_2,11_55_6_2
6_60_7_3,11_55_6_1
6_60_8_0,11_55_7_0
6_60_8_1,11_55_7_2
6_60_8_2,11_55_7_1 + 11_55_7_0
6_60_8_4,11_55_7_4
6_60_9_0,11_55_8_2
6_60_9_1,11_55_8_1
6_60_10,11_55_9
6_60_12,11_55_11
6_60_13_1,11_55_12_0
6_60_13_2,11_55_12_1
6_60_15_0,11_55_14
6_60_16_1,11_55_15
6_60_17,11_55_16
6_60_18_0,11_55_17_0
6_61_6,11_56_5_0
6_61_7_0,11_56_6_2
6_61_7_1,11_56_6_4
6_61_7_2,11_56_6_3 + 11_56_6_1 + 11_56_6_4 + 11_56_6_2
6_61_7_3,11_56_6_1 + 11_56_6_0
6_61_8_0,11_56_7_1
6_61_8_1,11_56_7_2 + 11_56_7_0 + 11_56_7_1
6_61_8_2,11_56_7_0
6_61_9,11_56_8_0
6_61_10_1,11_56_9_0
6_61_10_3,11_56_9_1
6_61_11_1,11_56_10_0
6_61_12_0,11_56_11_1
6_61_12_1,11_56_11_0
6_61_13_0,11_56_12
6_61_14_0,11_56_13_0
6_61_14_1,11_56_13_1
6_61_15_1,11_56_14
6_61_17_0,11_56_16
6_62_6,11_57_5_1 + 11_57_5_0
6_62_8_0,11_57_7_0
6_62_9_1,11_57_8_0
6_62_9_2,11_57_8_1
6_62_9_3,11_57_8_2
6_62_10_0,11_57_9_2
6_62_10_1,11_57_9_0
6_62_10_2,11_57_9_1
6_62_11_0,11_57_10_2
6_62_11_1,11_57_10_1 + 11_57_10_2
6_62_11_2,11_57_10_0
6_62_12_1,11_57_11_1
6_62_13_0,11_57_12
6_62_14_1,11_57_13
6_62_16_0,11_57_15
6_62_17_1,11_57_16
6_63_7_1,11_58_6_1
6_63_8_0,11_58_7_0
6_63_8_2,11_58_7_1
6_63_9_0,11_58_8
6_63_10_0,11_58_9_0 + 11_58_9_1
6_63_10_1,11_58_9_2 + 11_58_9_0
6_63_10_4,11_58_9_1
6_63_11_0,11_58_10_0
6_63_11_1,11_58_10_1
6_63_13_0,11_58_12
6_63_15_0,11_58_14
6_63_16_1,11_58_15_0
6_63_16_2,11_58_15_1
6_64_7_1,11_59_6_1 + 11_59_6_0
6_64_8_0,11_59_7_0
6_64_8_1,11_59_7_1
6_64_9_0,11_59_8_0
6_64_9_1,11_59_8_1 + 11_59_8_0 + 11_59_8_2
6_64_9_2,11_59_8_2
6_64_10_0,11_59_9_1
6_64_12_0,11_59_11_1
6_64_12_1,11_59_11_0
6_64_13_0,11_59_12
6_64_14_0,11_59_13
6_64_15_1,11_59_14
6_65_7,11_60_6_0
6_65_8_0,11_60_7_0
6_65_9_0,11_60_8_1
6_65_9_2,11_60_8_0
6_65_10,11_60_9_1
6_65_12_0,11_60_11_1
6_65_12_2,11_60_11_0
6_65_13_0,11_60_12_1
6_65_13_1,11_60_12_0
6_65_14_1,11_60_13_1
6_65_14_2,11_60_13_0
6_66_8_1,11_61_7_0 + 11_61_7_1
6_66_8_2,11_61_7_1
6_66_9_0,11_61_8_1 + 11_61_8_0
6_66_9_1,11_61_8_0
6_66_10_0,11_61_9
6_66_11_0,11_61_10_1
6_66_12,11_61_11_0
6_66_13_0,11_61_12_1
6_66_13_1,11_61_12_0
6_67_7_0,11_62_6_0
6_67_7_1,11_62_6_1
6_67_8_0,11_62_7_0 + 11_62_7_1
6_67_8_1,11_62_7_1
6_67_9_0,11_62_8_0
6_67_9_2,11_62_8_1
6_67_10,11_62_9
6_67_11_1,11_62_10_1 + 11_62_10_0
6_67_12_0,11_62_11_1
6_67_12_1,11_62_11_0
6_68_6,11_63_5
6_68_7_0,11_63_6_0
6_68_7_1,11_63_6_1
6_68_8_0,11_63_7_0
6_68_8_1,11_63_7_1 + 11_63_7_0
6_68_8_2,11_63_7_2 + 11_63_7_0
6_68_9_0,11_63_8_0
6_68_9_1,11_63_8_1
6_68_10_0,11_63_9_1
6_68_10_1,11_63_9_0 + 11_63_9_1
6_68_11_0,11_63_10_2
6_68_11_1,11_63_10_0
6_68_11_2,11_63_10_1 + 11_63_10_0 + 11_63_10_2
6_68_11_3,11_63_10_3
6_69_6,11_64_5
6_69_7_0,11_64_6_2
6_69_7_1,11_64_6_1
6_69_7_2,11_64_6_0
6_69_8_0,11_64_7_2
6_69_8_1,11_64_7_1
6_69_8_2,11_64_7_0
6_69_8_4,11_64_7_3
6_69_9_0,11_64_8_0 + 11_64_8_1
6_69_9_1,11_64_8_1
6_69_10_0,11_64_9_0
6_69_10_1,11_64_9_1 + 11_64_9_0
6_70_6,11_65_5
6_70_7_0,11_65_6_0
6_70_7_2,11_65_6_1
6_70_8_0,11_65_7_1
6_70_8_1,11_65_7_2
6_70_9_0,11_65_8_1
6_70_9_1,11_65_8_0
6_70_9_2,11_65_8_2 + 11_65_8_0
6_71_8_2,11_66_7_0
6_72_7_1,11_67_6
7_7_2,13_1_1
7_8_3_0,13_2_2
7_9_4_0,13_3_3
7_14_3,13_8_2
7_14_4_1,13_8_3
7_15_4,13_9_3
7_15_5_0,13_9_4
7_15_6,13_9_5
7_16_7_0,13_10_6
7_17_8_0,13_11_7
7_20_4,13_14_3
7_21_6,13_15_5_0
7_22_7_0,13_16_6
7_22_8,13_16_7
7_23_4_0,13_17_3
7_23_8,13_17_7
7_23_9_0,13_17_8
7_23_10,13_17_9
7_24_5_0,13_18_4_2
7_24_6,13_18_5_1
7_24_11_0,13_18_10
7_25_4_1,13_19_3_1
7_25_12_0,13_19_11
7_26_5_1,13_20_4_0
7_26_7,13_20_6_1
7_27_6,13_21_5_1
7_28_5,13_22_4_1
7_28_8,13_22_7
7_29_5,13_23_4
7_29_7_1,13_23_6
7_29_10,13_23_9_0
7_30_5_0,13_24_4
7_30_6,13_24_5_1
7_30_11_0,13_24_10
7_30_12,13_24_11
7_31_6_0,13_25_5
7_31_12,13_25_11
7_31_13_0,13_25_12
7_31_14,13_25_13
7_32_7_1,13_26_6_1
7_32_10,13_26_9_1
7_32_15_0,13_26_14
7_33_16_0,13_27_15
7_34_11,13_28_10_1
7_35_7,13_29_6
7_35_10,13_29_9_1
7_36_5,13_30_4
7_36_12,13_30_11
7_37_6_1,13_31_5
7_37_11,13_31_10
7_37_14,13_31_13_0
7_38_5,13_32_4
7_38_7_1,13_32_6_0
7_38_7_2,13_32_6_1
7_38_10,13_32_9_1
7_38_15_0,13_32_14
7_38_16,13_32_15
7_39_6_1,13_33_5_1
7_39_8,13_33_7_1
7_39_16,13_33_15
7_39_17_0,13_33_16
7_39_18,13_33_17
7_40_6_0,13_34_5_1 + 13_34_5_0
7_40_7_1,13_34_6
7_40_11,13_34_10_1
7_40_14,13_34_13_1
7_40_19_0,13_34_18
7_41_6_1,13_35_5
7_41_10_0,13_35_9_1
7_41_20_0,13_35_19
7_42_7_2,13_36_6
7_42_15,13_36_14_1
7_43_7_0,13_37_6
7_43_8_0,13_37_7_1
7_43_8_1,13_37_7_0 + 13_37_7_1
7_43_11,13_37_10
7_43_14,13_37_13_1
7_44_7,13_38_6_1
7_44_10_0,13_38_9_1
7_44_16,13_38_15
7_45_8_1,13_39_7
7_45_15,13_39_14
7_45_18,13_39_17_0
7_46_7,13_40_6
7_46_11_0,13_40_10
7_46_14,13_40_13_1
7_46_19_0,13_40_18
7_46_20,13_40_19
7_47_6,13_41_5_1
7_47_12,13_41_11_1
7_47_20,13_41_19
7_47_21_0,13_41_20
7_47_22,13_41_21
7_48_9_0,13_42_8_1
7_48_15,13_42_14_1
7_48_18,13_42_17_1
7_48_23_0,13_42_22
7_49_8,13_43_7_0
7_49_14_0,13_43_13_1
7_49_24_0,13_43_23
7_50_19,13_44_18_1
7_51_6,13_45_5
7_51_15,13_45_14
7_51_18,13_45_17_1
7_52_7,13_46_6
7_52_8_0,13_46_7_0
7_52_8_2,13_46_7_1
7_52_9_0,13_46_8_1
7_52_14_0,13_46_13_1
7_52_20,13_46_19
7_53_7_0,13_47_6_0
7_53_7_2,13_47_6_1
7_53_8_0,13_47_7_1
7_53_9_0,13_47_8_0
7_53_9_1,13_47_8_1
7_53_10_1,13_47_9
7_53_19,13_47_18
7_53_22,13_47_21_0
7_54_5,13_48_4
7_54_8_0,13_48_7_0
7_54_8_1,13_48_7_2 + 13_48_7_1
7_54_9_1,13_48_8_1
7_54_9_2,13_48_8_0
7_54_10_0,13_48_9_1
7_54_10_1,13_48_9_2
7_54_15_0,13_48_14
7_54_18,13_48_17_1
7_54_23_0,13_48_22
7_54_24,13_48_23
7_55_7_0,13_49_6_1
7_55_8_0,13_49_7_0
7_55_9_1,13_49_8_0
7_55_10_0,13_49_9
7_55_16,13_49_15_1
7_55_24,13_49_23
7_56_5,13_50_4_1
7_56_7_2,13_50_6_2
7_56_8_1,13_50_7
7_56_19,13_50_18_1
7_56_22,13_50_21_1
7_57_6_1,13_51_5_0
7_57_8_1,13_51_7_1
7_57_9_0,13_51_8_0
7_57_10_1,13_51_9_1
7_57_18_0,13_51_17_1
7_58_7_1,13_52_6_2
7_58_9_1,13_52_8_2
7_58_10_1,13_52_9_0
7_58_11_1,13_52_10_0
7_59_6_1,13_53_5_2
7_59_8_0,13_53_7_3
7_59_8_1,13_53_7_2
7_59_9_1,13_53_8_1
7_59_9_2,13_53_8_0
7_59_10_1,13_53_9_0
7_59_10_3,13_53_9_2
7_59_11_1,13_53_10_1
7_59_19,13_53_18
7_60_6_1,13_54_5
7_60_7_4,13_54_6_2
7_60_8_0,13_54_7
7_60_9_2,13_54_8
7_60_10_1,13_54_9_0
7_60_11_0,13_54_10
7_60_12_1,13_54_11
7_60_18_0,13_54_17_1
7_61_6_0,13_55_5_0
7_61_6_1,13_55_5_1
7_61_7_0,13_55_6_3
7_61_8_0,13_55_7_3
7_61_8_1,13_55_7_2
7_61_9,13_55_8
7_61_10_0,13_55_9
7_61_13_0,13_55_12
7_62_7_0,13_56_6_2
7_62_7_1,13_56_6_1 + 13_56_6_4
7_62_8_1,13_56_7_0
7_62_10_1,13_56_9
7_62_11_1,13_56_10_1
7_62_14,13_56_13_1
7_63_6,13_57_5_1 + 13_57_5_0
7_63_11_0,13_57_10_1
7_63_12_1,13_57_11_0
7_63_12_2,13_57_11_1
7_64_11_0,13_58_10
7_65_6,13_59_5
7_65_9_1,13_59_8_1
7_65_10,13_59_9
7_65_13_1,13_59_12
7_66_7_1,13_60_6_2
7_66_7_2,13_60_6_1 + 13_60_6_2
7_66_10_1,13_60_9_0 + 13_60_9_1
7_66_12_0,13_60_11_0
7_67_8_0,13_61_7_1
7_67_8_1,13_61_7_0 + 13_61_7_1
7_67_9_0,13_61_8_1
7_67_11_1,13_61_10_0
7_67_11_3,13_61_10_1
7_67_12_0,13_61_11_1
7_68_6_1,13_62_5
7_68_7_1,13_62_6_1
7_68_9_2,13_62_8_0
7_68_9_3,13_62_8_1 + 13_62_8_0
7_68_10_0,13_62_9_1
7_68_10_1,13_62_9_0
7_68_11_2,13_62_10_1
7_69_7_0,13_63_6_2
7_69_7_1,13_63_6_3
7_69_8_1,13_63_7_0
7_69_8_3,13_63_7_2
7_69_10_1,13_63_9_3 + 13_63_9_0
7_70_7_0,13_64_6_4 + 13_64_6_3
7_70_7_1,13_64_6_0
7_70_8_0,13_64_7_2
7_70_8_1,13_64_7_0 + 13_64_7_2
7_70_9_1,13_64_8_1 + 13_64_8_2
7_70_9_2,13_64_8_2
7_71_6,13_65_5_1
7_71_7_0,13_65_6_1
7_71_7_2,13_65_6_2
7_71_8_5,13_65_7_2
7_72_7_1,13_66_6
8_7_1,15_0_0
8_7_2_1,15_0_1
8_7_3_1,15_0_2
8_7_4_1,15_0_3
8_7_5,15_0_4
8_7_6,15_0_5
8_7_7,15_0_6
8_7_8,15_0_7
8_7_9,15_0_8
8_7_10,15_0_9
8_7_11,15_0_10
8_7_12,15_0_11
8_7_13,15_0_12
8_7_14,15_0_13
8_7_15,15_0_14
8_7_16,15_0_15
8_7_17,15_0_16
8_7_18,15_0_17
8_7_19,15_0_18
8_7_20,15_0_19
8_7_21,15_0_20
8_7_22,15_0_21
8_7_23,15_0_22
8_7_24,15_0_23
8_7_25,15_0_24
8_7_26,15_0_25
8_7_27,15_0_26
8_8_2_0,15_1_1
8_9_3_0,15_2_2
8_10_2,15_3_1
8_10_3_0,15_3_2
8_10_4_0,15_3_3
8_13_3,15_6_2
8_14_2,15_7_1
8_14_3_0,15_7_2
8_14_4_0,15_7_3
8_14_5_0,15_7_4
8_15_3,15_8_2
8_15_4_1,15_8_3
8_16_4,15_9_3
8_16_5,15_9_4
8_16_6_1,15_9_5
8_17_7_0,15_10_6
8_18_6,15_11_5
8_18_7_0,15_11_6
8_18_8_0,15_11_7
8_21_3,15_14_2
8_21_4,15_14_3
8_21_5_0,15_14_4
8_21_6_0,15_14_5
8_21_7_0,15_14_6
8_22_3,15_15_2
8_22_4_0,15_15_3
8_22_5_0,15_15_4
8_22_6_0,15_15_5_1 + 15_15_5_0
8_22_6_1,15_15_5_0
8_22_7_1,15_15_6
8_22_8_0,15_15_7
8_22_9_0,15_15_8
8_23_3,15_16_2
8_23_4_1,15_16_3
8_23_7,15_16_6
8_23_8_1,15_16_7
8_24_4_0,15_17_3
8_24_5_1,15_17_4_0
8_24_5_2,15_17_4_1
8_24_6_0,15_17_5
8_24_7_0,15_17_6
8_24_8_0,15_17_7
8_24_9,15_17_8
8_24_10_1,15_17_9
8_25_3,15_18_2
8_25_4_0,15_18_3_1
8_25_4_1,15_18_3_0 + 15_18_3_1
8_25_5_0,15_18_4_2
8_25_5_1,15_18_4_0 + 15_18_4_2
8_25_5_3,15_18_4_1
8_25_6_0,15_18_5_1
8_25_6_2,15_18_5_0 + 15_18_5_1
8_25_11_0,15_18_10
8_26_4_1,15_19_3_0
8_26_4_2,15_19_3_1
8_26_10,15_19_9
8_26_11_0,15_19_10
8_26_12_0,15_19_11
8_27_5_1,15_20_4
8_27_6_0,15_20_5
8_27_7_0,15_20_6
8_28_4,15_21_3
8_28_5_0,15_21_4
8_28_6_0,15_21_5
8_29_4,15_22_3
8_29_5_0,15_22_4_0 + 15_22_4_1
8_29_5_1,15_22_4_1
8_29_5_2,15_22_4_2
8_29_6_1,15_22_5
8_29_7_0,15_22_6
8_29_9_0,15_22_8
8_29_10_0,15_22_9
8_29_11_0,15_22_10
8_30_4,15_23_3
8_30_5_1,15_23_4_0
8_30_5_2,15_23_4_1
8_30_6_1,15_23_5_0
8_30_6_2,15_23_5_1
8_30_7_0,15_23_6
8_30_8_1,15_23_7
8_30_9_0,15_23_8
8_30_10_0,15_23_9_1 + 15_23_9_0
8_30_10_1,15_23_9_0
8_30_11_1,15_23_10
8_30_12_0,15_23_11
8_30_13_0,15_23_12
8_31_5,15_24_4
8_31_6_1,15_24_5_0
8_31_6_2,15_24_5_1
8_31_7_1,15_24_6
8_31_8_0,15_24_7
8_31_11,15_24_10
8_31_12_1,15_24_11
8_32_4,15_25_3
8_32_5_0,15_25_4
8_32_6_0,15_25_5
8_32_9_0,15_25_8_0
8_32_9_1,15_25_8_1
8_32_10_0,15_25_9
8_32_11_0,15_25_10
8_32_12_0,15_25_11
8_32_13,15_25_12
8_32_14_1,15_25_13
8_33_7_0,15_26_6
8_33_8_1,15_26_7_0
8_33_8_2,15_26_7_1
8_33_9_0,15_26_8_1
8_33_9_1,15_26_8_0
8_33_10_0,15_26_9_1
8_33_10_1,15_26_9_0 + 15_26_9_1
8_33_15_0,15_26_14
8_34_14,15_27_13
8_34_15_0,15_27_14
8_34_16_0,15_27_15
8_35_9_0,15_28_8
8_35_10_0,15_28_9
8_35_11_0,15_28_10
8_36_5_0,15_29_4
8_36_6_0,15_29_5
8_36_7,15_29_6
8_36_8_0,15_29_7_0
8_36_8_1,15_29_7_1
8_36_9_0,15_29_8_1
8_36_9_1,15_29_8_0
8_36_10_0,15_29_9
8_37_4,15_30_3
8_37_5_0,15_30_4_1
8_37_5_1,15_30_4_0
8_37_6_1,15_30_5
8_37_7_1,15_30_6
8_37_8_0,15_30_7_1
8_37_8_1,15_30_7_0
8_37_9_0,15_30_8
8_37_10_0,15_30_9
8_37_11_0,15_30_10
8_37_12_0,15_30_11
8_37_13_0,15_30_12
8_37_14_0,15_30_13
8_37_15_0,15_30_14
8_38_4,15_31_3
8_38_5_1,15_31_4
8_38_6_0,15_31_5_0
8_38_6_1,15_31_5_1
8_38_9_0,15_31_8_0
8_38_9_1,15_31_8_1
8_38_10_0,15_31_9_1
8_38_10_1,15_31_9_0
8_38_11_0,15_31_10_0
8_38_11_1,15_31_10_1
8_38_12_1,15_31_11
8_38_13_0,15_31_12
8_38_14_0,15_31_13_1 + 15_31_13_0
8_38_14_1,15_31_13_0
8_38_15_1,15_31_14
8_38_16_0,15_31_15
8_38_17_0,15_31_16
8_39_5_0,15_32_4_0
8_39_5_1,15_32_4_1
8_39_6_2,15_32_5
8_39_7_0,15_32_6_0
8_39_7_2,15_32_6_1
8_39_8_1,15_32_7_0
8_39_8_2,15_32_7_1
8_39_9_0,15_32_8_1
8_39_9_1,15_32_8_0
8_39_10_0,15_32_9_1
8_39_10_1,15_32_9_0 + 15_32_9_1
8_39_11_1,15_32_10
8_39_12_0,15_32_11
8_39_15,15_32_14
8_39_16_1,15_32_15
8_40_5_0,15_33_4_0
8_40_5_1,15_33_4_1
8_40_6_0,15_33_5_0
8_40_6_1,15_33_5_1
8_40_7_0,15_33_6_0
8_40_7_2,15_33_6_1 + 15_33_6_0
8_40_8_0,15_33_7_0
8_40_8_1,15_33_7_1
8_40_13_0,15_33_12_0
8_40_13_1,15_33_12_1
8_40_14_0,15_33_13
8_40_15_0,15_33_14
8_40_16_0,15_33_15
8_40_17,15_33_16
8_40_18_1,15_33_17
8_41_5,15_34_4
8_41_6_1,15_34_5
8_41_7_0,15_34_6_0
8_41_7_1,15_34_6_1
8_41_9,15_34_8
8_41_10_0,15_34_9
8_41_11_0,15_34_10
8_41_12_1,15_34_11_0
8_41_12_2,15_34_11_1
8_41_13_0,15_34_12_1
8_41_13_1,15_34_12_0
8_41_14_0,15_34_13_1
8_41_14_1,15_34_13_0 + 15_34_13_1
8_41_19_0,15_34_18
8_42_6_0,15_35_5_0
8_42_6_1,15_35_5_1
8_42_7_2,15_35_6
8_42_8_0,15_35_7_0
8_42_8_2,15_35_7_1
8_42_9_0,15_35_8_1
8_42_9_1,15_35_8_0
8_42_10_0,15_35_9
8_42_18,15_35_17
8_42_19_0,15_35_18
8_42_20_0,15_35_19
8_43_6_0,15_36_5_0
8_43_6_1,15_36_5_1
8_43_7_2,15_36_6_0
8_43_7_3,15_36_6_1
8_43_8_2,15_36_7
8_43_13_0,15_36_12
8_43_14_0,15_36_13
8_43_15_0,15_36_14
8_44_6,15_37_5
8_44_7_0,15_37_6_1
8_44_7_1,15_37_6_0
8_44_8_0,15_37_7_0 + 15_37_7_2 + 15_37_7_1
8_44_8_1,15_37_7_1
8_44_8_2,15_37_7_2
8_44_9_1,15_37_8_1
8_44_9_3,15_37_8_0
8_44_10_1,15_37_9
8_44_11_0,15_37_10_1
8_44_11_1,15_37_10_0 + 15_37_10_1
8_44_12_0,15_37_11_0
8_44_12_1,15_37_11_1
8_44_13_0,15_37_12_1
8_44_13_1,15_37_12_0
8_44_14_0,15_37_13
8_45_7_0,15_38_6_0
8_45_7_1,15_38_6_2
8_45_7_2,15_38_6_1
8_45_7_3,15_38_6_3
8_45_8_1,15_38_7_1
8_45_8_2,15_38_7_0
8_45_9_0,15_38_8_1
8_45_9_1,15_38_8_0 + 15_38_8_1
8_45_10_0,15_38_9_1
8_45_10_1,15_38_9_0
8_45_11,15_38_10
8_45_12_0,15_38_11_1
8_45_12_1,15_38_11_0
8_45_13_0,15_38_12
8_45_14_0,15_38_13
8_45_15_0,15_38_14
8_45_17_0,15_38_16
8_45_18_0,15_38_17
8_45_19_0,15_38_18
8_46_6,15_39_5
8_46_8_0,15_39_7_0
8_46_8_1,15_39_7_1
8_46_10,15_39_9
8_46_13_0,15_39_12_0
8_46_13_1,15_39_12_1
8_46_14_0,15_39_13_1
8_46_14_1,15_39_13_0
8_46_15_0,15_39_14
8_46_16_1,15_39_15
8_46_17_0,15_39_16
8_46_18_0,15_39_17_1 + 15_39_17_0
8_46_18_1,15_39_17_0
8_46_19_1,15_39_18
8_46_20_0,15_39_19
8_46_21_0,15_39_20
8_47_5,15_40_4
8_47_6_0,15_40_5
8_47_7,15_40_6
8_47_9,15_40_8
8_47_11_0,15_40_10_0
8_47_11_1,15_40_10_1
8_47_12_1,15_40_11_0
8_47_12_2,15_40_11_1
8_47_13_0,15_40_12_1
8_47_13_1,15_40_12_0
8_47_14_0,15_40_13_1
8_47_14_1,15_40_13_0 + 15_40_13_1
8_47_15_1,15_40_14
8_47_16_0,15_40_15
8_47_19,15_40_18
8_47_20_1,15_40_19
8_48_4,15_41_3
8_48_5,15_41_4
8_48_6,15_41_5
8_48_8_0,15_41_7
8_48_9_0,15_41_8
8_48_10_0,15_41_9
8_48_11_0,15_41_10_0
8_48_11_1,15_41_10_1
8_48_12_0,15_41_11_1
8_48_12_1,15_41_11_0 + 15_41_11_1
8_48_17_0,15_41_16_0
8_48_17_1,15_41_16_1
8_48_18_0,15_41_17
8_48_19_0,15_41_18
8_48_20_0,15_41_19
8_48_21,15_41_20
8_48_22_1,15_41_21
8_49_7,15_42_6
8_49_8_0,15_42_7
8_49_9_0,15_42_8
8_49_10_1,15_42_9
8_49_13,15_42_12
8_49_14_0,15_42_13
8_49_15_0,15_42_14
8_49_16_1,15_42_15_0
8_49_16_2,15_42_15_1
8_49_17_0,15_42_16_1
8_49_17_1,15_42_16_0
8_49_18_0,15_42_17_1
8_49_18_1,15_42_17_0 + 15_42_17_1
8_49_23_0,15_42_22
8_50_11,15_43_10
8_50_12_0,15_43_11_0
8_50_12_1,15_43_11_1
8_50_13_0,15_43_12_1
8_50_13_1,15_43_12_0
8_50_14_0,15_43_13
8_50_22,15_43_21
8_50_23_0,15_43_22
8_50_24_0,15_43_23
8_51_5,15_44_4
8_51_6_0,15_44_5
8_51_7_0,15_44_6
8_51_10,15_44_9
8_51_11_0,15_44_10_0
8_51_11_1,15_44_10_1
8_51_12_1,15_44_11
8_51_17_0,15_44_16
8_51_18_0,15_44_17
8_51_19_0,15_44_18
8_52_5_0,15_45_4
8_52_6_0,15_45_5_0
8_52_6_1,15_45_5_1 + 15_45_5_0
8_52_7_0,15_45_6_1
8_52_7_1,15_45_6_0
8_52_8_0,15_45_7
8_52_9_0,15_45_8
8_52_10_0,15_45_9_0
8_52_10_1,15_45_9_1
8_52_11_1,15_45_10
8_52_12,15_45_11
8_52_13_0,15_45_12_0
8_52_13_1,15_45_12_1
8_52_14_1,15_45_13
8_52_15,15_45_14
8_52_16_0,15_45_15_0
8_52_16_1,15_45_15_1
8_52_17_0,15_45_16_1
8_52_17_1,15_45_16_0
8_52_18_0,15_45_17
8_53_6_0,15_46_5_0
8_53_6_1,15_46_5_1 + 15_46_5_0
8_53_7_1,15_46_6
8_53_8_1,15_46_7_0
8_53_8_2,15_46_7_1 + 15_46_7_0
