element,image
17_61_12_0,0_46_11
33_64_13,0_33_12
33_65_3_0,0_34_2
33_65_7_0,0_34_6
33_65_9_1,0_34_8
33_65_12_0,0_34_11
33_66_6_0,0_35_5
33_66_8_1,0_35_7
33_67_7_1,0_36_6
33_68_4_0,0_37_3
33_68_6_1,0_37_5
33_68_8_0,0_37_7
33_68_9_0,0_37_8
33_69_3,0_38_2
33_69_5_2,0_38_4
33_69_7_0,0_38_6_0
33_69_7_2,0_38_6_1
33_70_4_0,0_39_3
33_70_5_0,0_39_4_1
33_70_6_0,0_39_5_1
33_70_8_1,0_39_7
33_71_5_0,0_40_4_2
33_71_5_2,0_40_4_1
33_71_6_0,0_40_5_1
33_71_7_1,0_40_6
33_72_4_1,0_41_3
35_36_3,0_3_2
35_37_4,0_4_3
35_42_4,0_9_3_0
35_42_5,0_9_4
35_43_4,0_10_3
35_43_5,0_10_4
35_44_6_0,0_11_5
35_44_7,0_11_6
35_45_8,0_12_7
35_50_7,0_17_6
35_50_8,0_17_7
35_50_9,0_17_8
35_51_4,0_18_3
35_51_8_0,0_18_7
35_51_9_0,0_18_8
35_52_5_0,0_19_4
35_52_10,0_19_9
35_52_11_0,0_19_10
35_53_12_0,0_20_11
35_54_7,0_21_6
35_56_8,0_23_7
35_57_5,0_24_4
35_57_6,0_24_5
35_57_7_1,0_24_6
35_58_6_0,0_25_5
35_58_11,0_25_10
15_48_19,0_35_18
15_49_6_1,0_36_5
15_49_10,0_36_9
23_47_12,0_26_11
31_48_11,0_19_10
23_47_13_0,0_26_12
13_63_15_0,0_52_14
13_64_6_4,0_53_5_1
13_64_7_1,0_53_6
13_64_8_1,0_53_7
25_65_13_0,0_42_12
25_66_12_0,0_43_11
25_67_5_1,0_44_4
25_67_11_0,0_44_10
25_68_4,0_45_3
25_68_6_0,0_45_5_0
25_68_6_1,0_45_5_1 + 0_45_5_0
25_68_7_1,0_45_6
25_68_10_0,0_45_9
25_69_5,0_46_4
25_69_6_2,0_46_5
25_69_7_0,0_46_6
25_69_8_0,0_46_7_1
25_69_8_3,0_46_7_0
25_69_9_1,0_46_8
25_70_6_1,0_47_5
25_70_8_0,0_47_7_1
25_70_9_0,0_47_8_1
25_70_9_1,0_47_8_2
25_71_5_1,0_48_4
25_71_6_0,0_48_5
25_71_7_1,0_48_6
25_71_8_1,0_48_7_1
25_72_5_1,0_49_4
25_72_6_0,0_49_5
25_73_5,0_50_4
27_28_3,0_3_2
27_29_4,0_4_3
27_34_3,0_9_2
27_34_4_0,0_9_3_0 + 0_9_3_1
27_34_4_1,0_9_3_1
27_34_5,0_9_4
27_35_4,0_10_3
27_35_5_0,0_10_4
27_36_6_0,0_11_5
27_36_7,0_11_6
27_37_8_0,0_12_7
27_39_3_0,0_14_2
27_42_7_0,0_17_6
27_42_8_0,0_17_7
27_42_9_0,0_17_8
27_43_4,0_18_3
27_43_8,0_18_7
27_43_9,0_18_8
27_44_5_0,0_19_4
27_44_10_0,0_19_9
27_44_11,0_19_10
27_45_12_0,0_20_11
27_46_4,0_21_3
27_48_8_0,0_23_7
27_49_5_0,0_24_4
27_49_6_0,0_24_5
27_49_7_1,0_24_6
27_50_6_0,0_25_5
15_66_7_1,0_53_6
15_66_8_0,0_53_7
15_66_9_1,0_53_8
27_67_8_0,0_42_7
27_67_10_0,0_42_9
27_67_12_0,0_42_11
27_68_9_0,0_43_8
27_70_4,0_45_3
27_70_6_1,0_45_5_0
27_71_6_1,0_46_5
27_72_6_1,0_47_5
27_73_5_1,0_48_4
29_28_2,0_1_1
29_29_3,0_2_2
29_31_4,0_4_3
29_33_3,0_6_2
29_34_2,0_7_1
29_34_3_0,0_7_2
29_35_3,0_8_2
29_35_4,0_8_3
29_36_4,0_9_3_1
29_36_5,0_9_4
29_36_6_0,0_9_5
29_37_4,0_10_3
29_37_7_0,0_10_6
29_41_3_0,0_14_2
29_42_6_0,0_15_5
29_42_7_0,0_15_6
29_43_3,0_16_2
29_43_7,0_16_6
29_43_8,0_16_7
29_44_4_0,0_17_3
29_44_9,0_17_8
29_44_10_0,0_17_9
29_45_8,0_18_7
29_45_11,0_18_10
29_46_5,0_19_4
29_48_4_0,0_21_3
29_48_6_0,0_21_5
29_48_7_0,0_21_6
29_49_4_0,0_22_3
29_49_6_1,0_22_5
29_50_5_0,0_23_4_1
29_50_5_1,0_23_4_0
29_50_10_0,0_23_9
15_66_10_2,0_53_9
15_67_6_1,0_54_5
15_67_8_2,0_54_7
15_67_9_1,0_54_8
19_50_15,0_33_14
47_69_10_0,0_24_9
47_70_6_0,0_25_5
47_70_9_0,0_25_8
47_71_7_0,0_26_6
49_48_2,0_1_1
49_49_3,0_2_2
49_50_2,0_3_1
49_53_3,0_6_2
