r,n,s,f,row,col,value
2,0,56,9,0,0,0
2,0,56,9,1,0,0
2,0,56,10,0,0,0
2,0,56,10,0,1,0
2,0,56,10,1,0,0
2,0,56,10,1,1,1
2,0,56,12,0,0,0
2,0,56,13,0,0,0
2,0,56,18,0,0,0
2,0,57,7,0,0,0
2,0,57,8,0,0,0
2,0,57,8,1,0,0
2,0,57,9,0,0,0
2,0,57,10,0,0,0
2,0,57,11,0,0,0
2,0,57,12,0,0,0
2,0,57,15,0,0,0
2,0,57,16,0,0,1
2,0,58,6,0,0,0
2,0,58,9,0,0,0
2,0,58,10,0,0,0
2,0,58,11,0,0,1
2,0,58,11,1,0,0
2,0,58,14,0,0,0
2,0,59,8,0,0,0
2,0,59,10,0,0,0
2,0,59,13,0,0,0
2,0,60,11,0,0,0
2,0,60,12,0,0,0
2,0,60,12,0,1,0
2,0,61,11,0,0,0
2,0,61,11,0,1,0
2,0,62,2,0,0,0
2,0,62,7,0,0,0
2,0,62,7,1,0,0
2,0,62,10,0,0,0
2,0,62,10,0,1,0
2,0,62,10,0,2,0
2,0,63,3,0,0,0
2,0,63,3,1,0,0
2,0,63,6,0,0,0
2,0,63,6,0,1,0
2,0,63,6,1,0,0
2,0,63,6,1,1,0
2,0,63,6,2,0,0
2,0,63,6,2,1,0
2,0,63,8,0,0,0
2,0,63,8,0,1,0
2,0,63,8,1,0,0
2,0,63,8,1,1,0
2,0,63,8,2,0,0
2,0,63,8,2,1,0
2,0,63,9,0,0,0
2,0,63,9,0,1,0
2,0,64,3,0,0,0
2,0,64,3,1,0,0
2,0,64,4,0,0,0
2,0,64,4,1,0,0
2,0,64,5,0,0,0
2,0,64,5,1,0,0
2,0,64,6,0,0,0
2,0,64,6,0,1,0
2,0,64,6,1,0,0
2,0,64,6,1,1,0
2,0,64,7,0,0,0
2,0,64,7,0,1,0
2,0,64,7,1,0,0
2,0,64,7,1,1,0
2,0,64,8,0,0,0
2,0,64,8,1,0,0
2,0,65,2,0,0,1
2,0,65,3,0,0,0
2,0,65,3,0,1,0
2,0,65,4,0,0,0
2,0,65,4,1,0,0
2,0,65,5,0,0,0
2,0,65,5,1,0,0
2,0,65,6,0,0,0
2,0,65,7,0,0,0
2,0,65,7,0,1,0
2,0,65,7,1,0,0
2,0,65,7,1,1,0
2,0,66,2,0,0,0
2,0,66,3,0,0,0
2,0,66,5,0,0,0
2,0,66,5,1,0,0
2,0,67,4,0,0,0
2,0,67,4,1,0,0
2,0,67,5,0,0,0
2,0,67,5,0,1,0
2,0,67,5,1,0,0
2,0,67,5,1,1,0
2,0,70,2,0,0,0
3,0,15,1,0,0,0
3,0,16,2,0,0,0
3,0,17,2,0,0,0
3,0,18,3,0,0,0
3,0,18,4,0,0,0
3,0,22,3,0,0,0
3,0,23,5,0,0,0
3,0,24,4,0,0,0
3,0,24,6,0,0,1
3,0,26,7,0,0,1
3,0,31,3,0,0,0
3,0,32,2,0,0,0
3,0,32,2,1,0,0
3,0,32,5,0,0,0
3,0,32,10,0,0,1
3,0,33,2,0,0,0
3,0,33,3,0,0,0
3,0,33,4,0,0,0
3,0,33,4,0,1,0
3,0,33,7,0,0,0
3,0,34,3,0,0,0
3,0,34,6,0,0,0
3,0,34,11,0,0,1
3,0,35,4,0,0,0
3,0,35,5,0,0,0
3,0,37,3,0,0,0
3,0,37,6,0,0,0
3,0,38,2,0,0,0
3,0,38,3,0,0,0
3,0,38,4,0,0,1
3,0,38,8,0,0,1
3,0,39,3,0,0,0
3,0,39,4,0,0,0
3,0,39,5,0,0,0
3,0,39,5,0,1,0
3,0,39,7,0,0,0
3,0,40,3,0,0,0
3,0,40,4,0,0,0
3,0,40,4,0,1,0
3,0,40,4,0,2,0
3,0,40,6,0,0,0
3,0,40,6,1,0,0
3,0,40,9,0,0,0
3,0,40,14,0,0,1
3,0,41,3,0,0,0
3,0,41,4,0,0,0
3,0,41,5,0,0,0
3,0,41,6,0,0,0
3,0,41,6,0,1,0
3,0,42,7,0,0,0
3,0,42,7,1,0,0
3,0,42,15,0,0,1
3,0,45,10,0,0,1
3,0,46,6,0,0,0
3,0,46,7,0,0,0
3,0,46,7,0,1,0
3,0,46,9,0,0,0
3,0,46,12,0,0,1
3,0,47,5,0,0,0
3,0,47,6,0,0,0
3,0,47,8,0,0,0
3,0,47,8,0,1,0
3,0,47,8,0,2,0
3,0,47,11,0,0,0
3,0,48,4,0,0,0
3,0,48,7,0,0,0
3,0,48,7,0,1,0
3,0,48,8,0,0,0
3,0,48,8,0,1,0
3,0,48,10,0,0,1
3,0,48,10,1,0,0
3,0,48,13,0,0,0
3,0,48,18,0,0,1
3,0,49,5,0,0,0
3,0,49,5,1,0,0
3,0,49,9,0,0,0
3,0,49,9,0,1,0
3,0,50,6,0,0,1
3,0,50,6,0,1,0
3,0,50,6,1,0,0
3,0,50,6,1,1,0
3,0,50,11,0,0,1
3,0,50,11,1,0,1
3,0,50,19,0,0,1
3,0,51,8,0,0,0
3,0,51,10,0,0,1
3,0,52,5,0,0,0
3,0,52,6,0,0,0
3,0,52,9,0,0,0
3,0,52,12,0,0,1
3,0,53,5,0,0,0
3,0,53,5,1,0,0
3,0,53,6,0,0,0
3,0,53,8,0,0,0
3,0,53,9,0,0,0
3,0,53,11,0,0,0
3,0,53,14,0,0,1
3,0,54,5,0,0,0
3,0,54,6,0,0,1
3,0,54,7,0,0,0
3,0,54,10,0,0,0
3,0,54,11,0,0,0
3,0,54,13,0,0,0
3,0,54,16,0,0,1
3,0,55,7,0,0,0
3,0,55,10,0,0,0
3,0,55,12,0,0,1
3,0,55,15,0,0,0
3,0,56,7,0,0,1
3,0,56,9,0,0,0
3,0,56,11,0,0,0
3,0,56,12,0,0,0
3,0,56,14,0,0,0
3,0,56,14,1,0,1
3,0,56,17,0,0,0
3,0,57,7,0,0,1
3,0,57,8,0,0,0
3,0,57,9,0,0,1
3,0,57,10,0,0,0
3,0,57,11,0,0,0
3,0,57,13,0,0,0
3,0,58,6,0,0,0
3,0,58,9,0,0,0
3,0,58,10,0,0,0
3,0,58,12,0,0,1
3,0,60,7,0,0,0
3,0,61,4,0,0,1
3,0,62,8,0,0,0
3,0,62,8,1,0,0
3,0,63,3,0,0,0
3,0,63,7,0,0,0
3,0,63,7,0,1,0
3,0,63,7,1,0,0
3,0,63,7,1,1,0
3,0,63,7,2,0,0
3,0,63,7,2,1,0
3,0,64,3,0,0,0
3,0,64,3,1,0,0
3,0,64,5,0,0,0
3,0,64,5,1,0,0
3,0,65,3,0,0,0
3,0,65,3,0,1,0
3,0,65,3,1,0,0
3,0,65,3,1,1,0
3,0,65,4,0,0,0
3,0,65,4,1,0,0
3,0,65,5,0,0,0
3,0,66,2,0,0,0
3,0,66,3,0,0,0
4,0,16,2,0,0,0
4,0,17,3,0,0,0
4,0,18,2,0,0,0
4,0,18,3,0,0,0
4,0,18,4,0,0,0
4,0,19,4,0,0,0
4,0,23,4,0,0,0
4,0,23,4,0,1,0
4,0,25,5,0,0,0
4,0,30,6,0,0,1
4,0,31,5,0,0,1
4,0,31,5,0,1,0
4,0,31,8,0,0,1
4,0,32,4,0,0,0
4,0,32,7,0,0,1
4,0,33,2,0,0,0
4,0,33,3,0,0,0
4,0,33,9,0,0,1
4,0,34,2,0,0,0
4,0,34,3,0,0,0
4,0,34,5,0,0,0
4,0,35,4,0,0,0
4,0,36,6,0,0,0
4,0,37,5,0,0,0
4,0,37,8,0,0,1
4,0,38,2,0,0,0
4,0,38,10,0,0,1
4,0,39,3,0,0,0
4,0,39,6,0,0,0
4,0,39,9,0,0,1
4,0,39,9,0,1,0
4,0,39,12,0,0,1
4,0,40,3,0,0,0
4,0,40,5,0,0,0
4,0,40,5,0,1,0
4,0,40,5,1,0,0
4,0,40,5,1,1,0
4,0,40,8,0,0,0
4,0,40,11,0,0,1
4,0,41,3,0,0,0
4,0,41,4,0,0,0
4,0,41,5,0,0,0
4,0,41,7,0,0,0
4,0,41,13,0,0,1
4,0,42,6,0,0,0
4,0,42,6,1,0,0
4,0,42,9,0,0,0
4,0,43,8,0,0,0
4,0,44,4,0,0,0
4,0,44,10,0,0,1
4,0,45,6,0,0,0
4,0,45,12,0,0,1
4,0,46,5,0,0,0
4,0,46,8,0,0,0
4,0,46,14,0,0,1
4,0,47,5,0,0,0
4,0,47,7,0,0,0
4,0,47,10,0,0,0
4,0,47,13,0,0,1
4,0,47,16,0,0,1
4,0,48,4,0,0,0
4,0,48,4,1,0,0
4,0,48,4,2,0,0
4,0,48,7,0,0,0
4,0,48,7,0,1,0
4,0,48,9,0,0,0
4,0,48,12,0,0,0
4,0,48,15,0,0,1
4,0,49,5,0,0,0
4,0,49,9,0,0,0
4,0,49,11,0,0,0
4,0,49,17,0,0,1
4,0,50,10,0,0,1
4,0,51,6,0,0,0
4,0,51,12,0,0,1
4,0,52,5,0,0,1
4,0,52,8,0,0,0
4,0,52,8,0,1,0
4,0,52,14,0,0,1
4,0,53,5,0,0,0
4,0,53,7,0,0,0
4,0,53,10,0,0,0
4,0,53,16,0,0,1
4,0,54,7,0,0,0
4,0,54,9,0,0,0
4,0,54,12,0,0,0
4,0,55,7,0,0,0
4,0,55,14,0,0,0
4,0,56,11,0,0,1
4,0,56,13,0,0,0
4,0,57,12,0,0,1
4,0,57,13,0,0,1
4,0,58,6,0,0,1
4,0,58,9,0,0,0
4,0,64,3,0,0,0
4,0,64,3,1,0,0
5,0,17,2,0,0,0
5,0,17,3,0,0,0
5,0,18,2,0,0,0
5,0,18,3,0,0,0
5,0,18,4,0,0,0
5,0,19,3,0,0,0
5,0,19,4,0,0,0
5,0,20,4,0,0,0
5,0,21,6,0,0,0
5,0,24,5,0,0,0
5,0,26,6,0,0,0
5,0,28,8,0,0,0
5,0,30,2,0,0,0
5,0,34,2,0,0,0
5,0,36,5,0,0,0
5,0,40,4,0,0,0
5,0,40,4,0,1,0
5,0,40,4,0,2,0
5,0,41,3,0,0,0
5,0,41,4,0,0,0
5,0,42,5,0,0,0
5,0,42,5,1,0,0
5,0,46,4,0,0,0
5,0,47,6,0,0,0
5,0,50,4,0,0,0
5,0,50,6,0,0,0
5,0,53,6,0,0,0
5,0,54,5,0,0,0
5,0,55,7,0,0,1
5,0,56,9,0,0,1
5,0,57,8,0,0,1
